file: data/0052503c-2849-4f41-ab51-db382103690c.wav
compressed_file_path: data/0052503c-2849-4f41-ab51-db382103690c.wav.brainwire
         21811696 function calls (21789927 primitive calls) in 9.685 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   1166/1    0.015    0.000    9.686    9.686 {built-in method builtins.exec}
        1    0.000    0.000    9.686    9.686 encode:1(<module>)
        1    0.001    0.001    8.678    8.678 encode:667(main)
        1    0.000    0.000    8.672    8.672 encode:399(implement_spike_detection_module_and_huffman_encode_file)
        1    0.125    0.125    7.645    7.645 process_signal.py:192(detect_neural_spikes)
    98689    0.537    0.000    7.350    0.000 process_signal.py:150(estimate_noise_floor)
   493420    0.179    0.000    6.686    0.000 function_base.py:3845(median)
   493420    0.416    0.000    6.507    0.000 function_base.py:3763(_ureduce)
   493420    1.189    0.000    6.014    0.000 function_base.py:3931(_median)
      116    0.002    0.000    2.737    0.024 __init__.py:1(<module>)
   493420    0.256    0.000    1.959    0.000 fromnumeric.py:3385(mean)
   493420    0.701    0.000    1.704    0.000 _methods.py:101(_mean)
   493420    0.524    0.000    1.415    0.000 utils.py:1081(_median_nancheck)
   1135/6    0.003    0.000    1.007    0.168 <frozen importlib._bootstrap>:1165(_find_and_load)
   1110/6    0.003    0.000    1.007    0.168 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
   1065/7    0.002    0.000    1.006    0.144 <frozen importlib._bootstrap>:666(_load_unlocked)
    876/7    0.001    0.000    1.006    0.144 <frozen importlib._bootstrap_external>:934(exec_module)
  2658/12    0.001    0.000    1.004    0.084 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
        1    0.000    0.000    0.813    0.813 encode:317(huffman_encoding)
        1    0.790    0.790    0.790    0.790 encode:96(convertHexToBit)
   645/82    0.000    0.000    0.748    0.009 {built-in method builtins.__import__}
   493420    0.225    0.000    0.736    0.000 fromnumeric.py:662(partition)
   986852    0.714    0.000    0.714    0.000 {method 'reduce' of 'numpy.ufunc' objects}
 1284/435    0.001    0.000    0.687    0.002 <frozen importlib._bootstrap>:1207(_handle_fromlist)
   493420    0.180    0.000    0.592    0.000 {method 'any' of 'numpy.generic' objects}
   493422    0.270    0.000    0.580    0.000 numerictypes.py:357(issubdtype)
   493420    0.361    0.000    0.431    0.000 _methods.py:67(_count_reduce_items)
      876    0.003    0.000    0.427    0.000 <frozen importlib._bootstrap_external>:1007(get_code)
   493420    0.109    0.000    0.412    0.000 _methods.py:55(_any)
        1    0.000    0.000    0.389    0.389 process_signal.py:1(<module>)
   493420    0.360    0.000    0.360    0.000 {method 'partition' of 'numpy.ndarray' objects}
      876    0.001    0.000    0.358    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
      889    0.337    0.000    0.337    0.000 {method 'read' of '_io.BufferedReader' objects}
        8    0.000    0.000    0.294    0.037 api.py:1(<module>)
   986844    0.206    0.000    0.287    0.000 numerictypes.py:283(issubclass_)
1065/1058    0.001    0.000    0.218    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
        1    0.000    0.000    0.209    0.209 _peak_finding.py:1(<module>)
  182/180    0.000    0.000    0.205    0.001 <frozen importlib._bootstrap_external>:1231(create_module)
  182/180    0.199    0.001    0.205    0.001 {built-in method _imp.create_dynamic}
        2    0.000    0.000    0.201    0.101 _bsplines.py:1(<module>)
   493421    0.188    0.000    0.188    0.000 {method 'take' of 'numpy.ndarray' objects}
  2469977    0.164    0.000    0.164    0.000 {built-in method builtins.issubclass}
        1    0.157    0.157    0.163    0.163 encode:127(create_byte_string)
    83028    0.144    0.000    0.163    0.000 process_signal.py:68(identify_potential_initial_spikes)
        3    0.000    0.000    0.152    0.051 generic.py:1(<module>)
        1    0.000    0.000    0.140    0.140 _stats_py.py:1(<module>)
        1    0.000    0.000    0.132    0.132 _signaltools.py:1(<module>)
   493422    0.123    0.000    0.123    0.000 {method 'flatten' of 'numpy.ndarray' objects}
   493422    0.081    0.000    0.112    0.000 core.py:6485(isMaskedArray)
  1973716    0.107    0.000    0.107    0.000 {built-in method numpy.asanyarray}
506450/506024    0.044    0.000    0.107    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.106    0.106 distributions.py:1(<module>)
        1    0.000    0.000    0.099    0.099 _mio.py:1(<module>)
  1527209    0.099    0.000    0.099    0.000 {built-in method builtins.isinstance}
  182/137    0.000    0.000    0.097    0.001 <frozen importlib._bootstrap_external>:1239(exec_module)
  182/137    0.016    0.000    0.097    0.001 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.093    0.093 _mio4.py:1(<module>)
        1    0.000    0.000    0.090    0.090 _ltisys.py:1(<module>)
        1    0.000    0.000    0.078    0.078 frame.py:1(<module>)
        1    0.000    0.000    0.076    0.076 _interpolate.py:1(<module>)
        1    0.000    0.000    0.072    0.072 _fitpack_py.py:1(<module>)
  1353010    0.070    0.000    0.070    0.000 {method 'append' of 'list' objects}
       32    0.000    0.000    0.063    0.002 __init__.py:108(import_module)
       32    0.000    0.000    0.063    0.002 <frozen importlib._bootstrap>:1192(_gcd_import)
       29    0.000    0.000    0.062    0.002 __init__.py:132(__getattr__)
     1101    0.004    0.000    0.061    0.000 <frozen importlib._bootstrap>:1054(_find_spec)
        1    0.000    0.000    0.059    0.059 _continuous_distns.py:1(<module>)
1503/1484    0.012    0.000    0.056    0.000 {built-in method builtins.__build_class__}
      876    0.001    0.000    0.055    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
        1    0.000    0.000    0.055    0.055 _laplacian.py:1(<module>)
      876    0.054    0.000    0.054    0.000 {built-in method marshal.loads}
      109    0.001    0.000    0.053    0.000 _distn_infrastructure.py:1841(__init__)
        2    0.000    0.000    0.053    0.026 __config__.py:1(<module>)
     1096    0.001    0.000    0.052    0.000 <frozen importlib._bootstrap_external>:1496(find_spec)
     1096    0.015    0.000    0.052    0.000 <frozen importlib._bootstrap_external>:1464(_get_spec)
  1007175    0.050    0.000    0.050    0.000 {method 'get' of 'dict' objects}
   493420    0.045    0.000    0.045    0.000 fromnumeric.py:3380(_mean_dispatcher)
